"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FIT","Fitbit, Inc.","6.47","$1.73B","2015","Technology","Computer Manufacturing","https://old.nasdaq.com/symbol/fit",
"FIVE","Five Below, Inc.","94.28","$5.25B","2012","Consumer Services","Department/Specialty Retail Stores","https://old.nasdaq.com/symbol/five",
"FPH","Five Point Holdings, LLC","5.33","$790.51M","2017","Finance","Real Estate","https://old.nasdaq.com/symbol/fph",
"FPRX","Five Prime Therapeutics, Inc.","4.47","$163.76M","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/fprx",
"FVE","Five Star Senior Living Inc.","3.5","$110.4M","n/a","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/fve",
"FIVN","Five9, Inc.","103.8","$6.44B","2014","Technology","EDP Services","https://old.nasdaq.com/symbol/fivn",
"FVRR","Fiverr International Ltd.","63.3","$2.02B","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/fvrr",
"FBC","Flagstar Bancorp, Inc.","26","$1.47B","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fbc",
"DFP","Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.","24.49","$469.52M","2013","n/a","n/a","https://old.nasdaq.com/symbol/dfp",
"PFD","Flaherty & Crumrine Preferred and Income Fund Inco","13.9681","$157.49M","1991","n/a","n/a","https://old.nasdaq.com/symbol/pfd",
"PFO","Flaherty & Crumrine Preferred and Income Opportuni","11.18","$141.62M","1992","n/a","n/a","https://old.nasdaq.com/symbol/pfo",
"FFC","Flaherty & Crumrine Preferred and Income Securitie","19.49","$867.06M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ffc",
"FLC","Flaherty & Crumrine Total Return Fund Inc","19.35","$193.23M","2003","n/a","n/a","https://old.nasdaq.com/symbol/flc",
"BDL","Flanigan&#39;s Enterprises, Inc.","16.25","$30.2M","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/bdl",
"FLT","FleetCor Technologies, Inc.","233.88","$19.6B","2010","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/flt",
"FLNG","FLEX LNG Ltd.","4.39","$237.55M","2019","Consumer Services","Marine Transportation","https://old.nasdaq.com/symbol/flng",
"FLEX","Flex Ltd.","9.97","$5.02B","1994","Technology","Electrical Products","https://old.nasdaq.com/symbol/flex",
"FSI","Flexible Solutions International Inc.","1.58","$19.34M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/fsi",
"FLXN","Flexion Therapeutics, Inc.","10.55","$406.84M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/flxn",
"SKOR","FlexShares Credit-Scored US Corporate Bond Index Fund","53.09","$135.38M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/skor",
"MBSD","FlexShares Disciplined Duration MBS Index Fund","24.155","$68.84M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mbsd",
